v0,i1,i2,i3
23.0,0.18477907048670678,0.105238411005674,0.10636421726294402
23.5,0.1887960068016353,0.10752620254927561,0.10867648285561672
24.0,0.19281294311656363,0.10981399409287723,0.11098874844828942
24.5,0.19682987943149205,0.11210178563647882,0.1133010140409621
25.0,0.20084681574642058,0.11438957718008043,0.1156132796336348
25.5,0.2048637520613488,0.11667736872368203,0.1179255452263075
26.0,0.20888068837627724,0.11896516026728365,0.12023781081898019
26.5,0.21289762469120566,0.12125295181088526,0.12255007641165289
27.0,0.21691456100613418,0.12354074335448686,0.12486234200432558
27.5,0.2209314973210624,0.12582853489808848,0.12717460759699828
28.0,0.224948433635991,0.12811632644169008,0.12948687318967098
28.5,0.22896536995091915,0.13040411798529172,0.13179913878234367
29.0,0.23298230626584768,0.13269190952889331,0.13411140437501637
29.5,0.23699924258077582,0.13497970107249493,0.13642366996768907
30.0,0.24101617889570454,0.13726749261609653,0.13873593556036176
30.5,0.24503311521063287,0.13955528415969815,0.14104820115303446
31.0,0.2490500515255614,0.14184307570329974,0.14336046674570715
31.5,0.2530669878404897,0.14413086724690136,0.14567273233837985
32.0,0.25708392415541825,0.14641865879050295,0.14798499793105255
32.5,0.26110086047034636,0.1487064503341046,0.15029726352372524
33.0,0.2651177967852751,0.1509942418777062,0.15260952911639794
33.5,0.2691347331002032,0.1532820334213078,0.15492179470907064
34.0,0.27315166941513175,0.1555698249649094,0.15723406030174333
34.5,0.2771686057300601,0.15785761650851102,0.15954632589441603
35.0,0.2811855420449888,0.1601454080521126,0.16185859148708873
35.5,0.2852024783599169,0.16243319959571423,0.16417085707976142
36.0,0.28921941467484524,0.16472099113931585,0.16648312267243412
36.5,0.29323635098977374,0.16700878268291747,0.16879538826510682
37.0,0.2972532873047023,0.16929657422651906,0.1711076538577795
37.5,0.3012702236196304,0.17158436577012068,0.1734199194504522
38.0,0.30528715993455896,0.17387215731372227,0.1757321850431249
38.5,0.30930409624948746,0.1761599488573239,0.1780444506357976
39.0,0.313321032564416,0.17844774040092548,0.1803567162284703
39.5,0.3173379688793441,0.1807355319445271,0.182668981821143
40.0,0.3213549051942726,0.18302332348812872,0.1849812474138157
40.5,0.32537184150920095,0.18531111503173034,0.1872935130064884
41.0,0.3293887778241295,0.18759890657533193,0.18960577859916108
41.5,0.333405714139058,0.18988669811893355,0.19191804419183378
42.0,0.33742265045398634,0.19217448966253514,0.19423030978450648
42.5,0.34143958676891467,0.19446228120613676,0.19654257537717917
43.0,0.34545652308384317,0.19675007274973835,0.19885484096985187
43.5,0.3494734593987715,0.19903786429334,0.20116710656252457
44.0,0.35349039571369983,0.2013256558369416,0.20347937215519726
44.5,0.3575073320286284,0.2036134473805432,0.20579163774786996
45.0,0.3615242683435567,0.2059012389241448,0.20810390334054266
45.5,0.36554120465848505,0.20818903046774642,0.21041616893321535
46.0,0.36955814097341355,0.210476822011348,0.21272843452588805
46.5,0.37357507728834205,0.21276461355494963,0.21504070011856075
47.0,0.3775920136032706,0.21505240509855122,0.21735296571123344
47.5,0.3816089499181987,0.21734019664215287,0.21966523130390614
48.0,0.38562588623312727,0.21962798818575446,0.22197749689657884
